Xkr4	497097
Gm18956	100418032
Gm39585	105243853
Gm7341	664792
LOC108167595	108167595
Gm38717	105242467
Gm6101	619785
Rp1	19888
Sox17	20671
Gm7357	664830
LOC108167609	108167609
Gm39586	105243854
LOC108167610	108167610
Gm29874	102631571
Gm7369	664853
Gm6085	619596
Gm6119	619980
Gm2053	100039121
Gm6123	620009
Mrpl15	27395
Lypla1	18777
Gm39587	105243856
Tcea1	21399
Gm6104	619829
Rgs20	58175
Gm16041	102631647
Gm17101	100417473
Atp6v1h	108664
Gm7182	636659
Gm19070	100418201
Oprk1	18387
Npbwr1	226304
Gm19214	100418441
LOC108167788	108167788
4732440D04Rik	654788
Rb1cc1	12421
Fam150a	620393
LOC108167611	108167611
Gm2147	100039302
LOC102631893	102631893
Gm19026	100418138
St18	240690
Gm7449	665015
Gm37108	102641523
Gm5694	435608
Pcmtd1	319263
LOC108167612	108167612
Gm9826	545302
Nras-ps2	18178
Gm26901	102632124
Gm19002	100418102
Gm18984	100418076
Gm7470	665063
Rps2-ps2	665069
Gm17903	100416072
Gm39589	105243858
Sntg1	71096
Gm15452	100039474
LOC102632599	102632599
LOC102632504	102632504
LOC102632382	102632382
Gm6187	620853
Gm30719	102632723
Gm18299	100416881
Gm7512	665138
Gm18300	100416882
Rrs1	59014
Adhfe1	76187
2610203C22Rik	72481
Gm6161	620542
3110035E14Rik	76982
Mybl1	17864
Vcpip1	70675
1700034P13Rik	73331
Gm39590	105243859
Sgk3	170755
LOC108167613	108167613
Gm2352	100039643
Mcmdc2	240697
Snhg6	73824
Snord87	266793
Tcf24	100039596
Ppp1r42	69312
Cops5	26754
Cspp1	211660
Arfgef1	211673
Cpa6	329093
Gm15604	100416202
Gm15603	102636010
Gm5522	433271
Prex2	109294
A830018L16Rik	320492
Gm30898	102632954
Gm30974	102633057
Gm7560	665262
Gm39591	105243860
Mir6341	102465961
Gm2383	100039709
Gm6216	621353
Gm17644	329096
Sulf1	240725
Slco5a1	240726
Gm5250	383490
Gm39592	105243861
Prdm14	383491
Ncoa2	17978
Gm39595	105243864
Gm7593	665341
Gm39600	105243872
Tram1	72265
Lactb2	212442
Xkr9	381246
Gm2452	100039843
Gm5523	433273
Gm31195	102633349
Gm19122	100418294
Gm39596	105243865
Eya1	14048
Gm7617	665391
Msc	17681
LOC105243866	105243866
